Title,Year,Time,Genere,Rating,Rating_Count,Movi_Link
Batman Begins ,2005,2h 20min,Action,8.2,"1,279,800",https://www.imdb.com/title/tt0372784/
L.A. Confidential ,1997,2h 18min,Crime,8.2,"522,011",https://www.imdb.com/title/tt0119488/
Up ,2009,1h 36min,Animation,8.2,"912,443",https://www.imdb.com/title/tt1049413/
Rashomon ,1950,1h 28min,Crime,8.2,"148,423",https://www.imdb.com/title/tt0042876/
Die Hard ,1988,2h 12min,Action,8.2,"768,579",https://www.imdb.com/title/tt0095016/
Incendies ,2010,2h 11min,Drama,8.3,"142,915",https://www.imdb.com/title/tt1255953/
To Kill a Mockingbird ,1962,2h 9min,Crime,8.2,"289,026",https://www.imdb.com/title/tt0056592/
Come and See ,1985,2h 22min,Drama,8.3,"54,497",https://www.imdb.com/title/tt0091251/
Double Indemnity ,1944,1h 47min,Crime,8.3,"139,742",https://www.imdb.com/title/tt0036775/
The Apartment ,1960,2h 5min,Comedy,8.3,"159,290",https://www.imdb.com/title/tt0053604/
For a Few Dollars More ,1965,2h 12min,Western,8.3,"226,397",https://www.imdb.com/title/tt0059578/
Indiana Jones and the Last Crusade ,1989,2h 7min,Action,8.2,"677,615",https://www.imdb.com/title/tt0097576/
A Separation ,2011,2h 3min,Drama,8.3,"214,393",https://www.imdb.com/title/tt1832382/
Metropolis ,1927,2h 33min,Drama,8.3,"156,285",https://www.imdb.com/title/tt0017136/
The Sting ,1973,2h 9min,Comedy,8.3,"236,560",https://www.imdb.com/title/tt0070735/
Ikiru ,1952,2h 23min,Drama,8.3,"65,514",https://www.imdb.com/title/tt0044741/
Toy Story 3 ,2010,1h 43min,Animation,8.3,"740,459",https://www.imdb.com/title/tt0435761/
Lawrence of Arabia ,1962,3h 48min,Adventure,8.3,"261,792",https://www.imdb.com/title/tt0056172/
Singin' in the Rain ,1952,1h 43min,Comedy,8.3,"213,429",https://www.imdb.com/title/tt0045152/
Amélie ,2001,2h 2min,Comedy,8.3,"691,041",https://www.imdb.com/title/tt0211915/
Taxi Driver ,1976,1h 54min,Crime,8.3,"704,210",https://www.imdb.com/title/tt0075314/
Scarface ,1983,2h 50min,Crime,8.3,"722,143",https://www.imdb.com/title/tt0086250/
Snatch ,2000,1h 42min,Comedy,8.3,"767,244",https://www.imdb.com/title/tt0208092/
North by Northwest ,1959,2h 16min,Adventure,8.3,"291,961",https://www.imdb.com/title/tt0053125/
A Clockwork Orange ,1971,2h 16min,Crime,8.3,"741,066",https://www.imdb.com/title/tt0066921/
Bicycle Thieves ,1948,1h 29min,Drama,8.3,"141,756",https://www.imdb.com/title/tt0040522/
The Kid ,1921,1h 8min,Comedy,8.3,"109,254",https://www.imdb.com/title/tt0012349/
Full Metal Jacket ,1987,1h 56min,Drama,8.3,"658,935",https://www.imdb.com/title/tt0093058/
Citizen Kane ,1941,1h 59min,Drama,8.3,"389,814",https://www.imdb.com/title/tt0033467/
The Hunt ,2012,1h 55min,Drama,8.3,"270,040",https://www.imdb.com/title/tt2106476/
Eternal Sunshine of the Spotless Mind ,2004,1h 48min,Drama,8.3,"890,982",https://www.imdb.com/title/tt0338013/
M ,1931,1h 39min,Crime,8.3,"139,494",https://www.imdb.com/title/tt0022100/
Dangal ,2016,2h 41min,Action,8.4,"148,248",https://www.imdb.com/title/tt5074352/
Vertigo ,1958,2h 8min,Mystery,8.3,"353,433",https://www.imdb.com/title/tt0052357/
Requiem for a Dream ,2000,1h 42min,Drama,8.3,"749,212",https://www.imdb.com/title/tt0180093/
2001: A Space Odyssey ,1968,2h 29min,Adventure,8.3,"588,620",https://www.imdb.com/title/tt0062622/
Reservoir Dogs ,1992,1h 39min,Crime,8.3,"897,528",https://www.imdb.com/title/tt0105236/
Capernaum ,2018,2h 6min,Drama,8.4,"53,994",https://www.imdb.com/title/tt8267604/
Good Will Hunting ,1997,2h 6min,Drama,8.3,"838,480",https://www.imdb.com/title/tt0119217/
Inglourious Basterds ,2009,2h 33min,Adventure,8.3,"1,231,441",https://www.imdb.com/title/tt0361748/
1917 ,2019,1h 59min,Drama,8.3,"365,565",https://www.imdb.com/title/tt8579674/
Star Wars: Episode VI - Return of the Jedi ,1983,2h 11min,Action,8.3,"928,997",https://www.imdb.com/title/tt0086190/
Like Stars on Earth ,2007,2h 45min,Drama,8.4,"162,169",https://www.imdb.com/title/tt0986264/
3 Idiots ,2009,2h 50min,Comedy,8.4,"332,799",https://www.imdb.com/title/tt1187043/
